--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
079.166  000.042  000.042: sourcing /home/freja/.local/share/nvim/lazy/recipe.nvim/plugin/recipe.lua
079.168  000.064  000.023: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
079.180  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
079.186  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
079.645  000.035  000.035: require('plenary.tbl')
079.649  000.073  000.038: require('plenary.vararg.rotate')
079.650  000.109  000.036: require('plenary.vararg')
079.690  000.038  000.038: require('plenary.errors')
079.720  000.029  000.029: require('plenary.functional')
079.723  000.223  000.046: require('plenary.async.async')
079.851  000.028  000.028: require('plenary.async.structs')
079.856  000.067  000.039: require('plenary.async.control')
079.862  000.103  000.036: require('plenary.async.util')
079.864  000.139  000.035: require('plenary.async.tests')
079.866  000.412  000.051: require('plenary.async')
080.049  000.182  000.182: require('recipe.util')
080.146  000.056  000.056: require('recipe.config')
080.394  000.047  000.047: require('plenary.bit')
080.425  000.194  000.146: require('plenary.path')
080.542  000.363  000.169: require('plenary.log')
080.564  000.417  000.054: require('recipe.logger')
080.573  000.522  000.050: require('recipe.lib')
080.730  000.050  000.050: require('nui.object')
080.907  000.067  000.067: require('vim.version')
082.302  001.527  001.459: require('nui.utils')
082.315  001.584  000.057: require('nui.text')
082.353  001.713  000.080: require('nui.line')
082.467  000.036  000.036: require('nui.tree.util')
082.492  000.138  000.102: require('nui.tree')
082.497  001.922  000.072: require('recipe.recipe')
082.537  000.036  000.036: require('recipe.statusline')
082.552  000.011  000.011: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
082.555  003.336  000.251: require('recipe')
082.751  000.046  000.046: require('vim.secure')
082.797  000.044  000.044: require('recipe.providers')
082.799  000.147  000.057: require('recipe.providers.recipes')
082.849  000.048  000.048: require('recipe.providers.lsp')
082.886  000.035  000.035: require('recipe.providers.make')
082.918  000.031  000.031: require('recipe.providers.custom')
082.949  000.029  000.029: require('recipe.providers.ft')
083.211  000.047  000.047: require('recipe.cache')
083.310  000.069  000.069: require('plenary.async.uv_async')
083.332  004.946  001.134: require('recipe.recipe')
